DIRETOR,ANO_MAIS_RECENTE,N_FILMES,PRESTIGIO_FESTIV,CITA_N_PAPERS,CITA_SOMA_CIT,CITA_MAX_CIT,CITA_VENUES
ANTONIO ALEXANDRE LEAL DE OLIVEIRA,2006,1,,26.0,34.0,18.0,Aniki Revista Portuguesa da Imagem em Movimento | Confluencia | Revista de Ciências do Estado
ERNESTO IGNACIO DE CARVALHO,2024,3,IDFA,25.0,33.0,18.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Revista de Estudos Anglo-Portugueses/Journal of Anglo-Portuguese Studies | Revista Brasileira de Estudos da Presença
DANIEL SCHMIDT,2018,1,Rotterdam,7.0,32.0,21.0,Physical Review Materials | Advanced Materials | KOPS (University of Konstanz)
CARLOS NOBRE CRUZ,2018,1,,4.0,30.0,22.0,ValpoScholar (Valparaiso University) | Digital Repository at the University of Maryland (University of Maryland College Park) | Scholars' Bank (University of Oregon)
ANTONIO ALVES PEREIRA FILHO,2018,4,,1.0,24.0,24.0,Journal of Applied Polymer Science
ANTONIO CARLOS PEREIRA MORAES FILHO,2023,1,,1.0,24.0,24.0,Journal of Applied Polymer Science
ANTONIO JOSE PEREIRA DE MELO,2018,2,,1.0,24.0,24.0,Journal of Applied Polymer Science
ANTONIO BATISTA PEREIRA,2010,1,,1.0,24.0,24.0,Journal of Applied Polymer Science
ANTONIO AUGUSTO PEREIRA BARTH,2005,1,,1.0,24.0,24.0,Journal of Applied Polymer Science
ANTONIO RAMON PEREIRA GOMES,2016,1,,1.0,24.0,24.0,Journal of Applied Polymer Science
DANIEL BURMAN,2015,2,,25.0,24.0,8.0,Revista de estudios hispánicos | Alphaville Journal of Film and Screen Media | Significação Revista de Cultura Audiovisual
BRENO DA SILVEIRA SOUZA,2023,1,Oscar,34.0,24.0,6.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Alphaville Journal of Film and Screen Media | Dialnet (Universidad de la Rioja)
ANTONIO RANGEL PEREIRA,2017,13,,1.0,24.0,24.0,Journal of Applied Polymer Science
FABIANO MACIEL,2025,24,,5.0,23.0,21.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Cinema Journal | Revista FAMECOS
DIANA MONTENEGRO,2021,1,,4.0,21.0,21.0,Investigaciones Feministas | Nexus
CARLOS DONALDO COSTA,2021,2,,3.0,19.0,18.0,New Disease Reports | História Revista | Administrative Sciences
CARLOS HENRIQUE DA COSTA,2018,1,,3.0,19.0,18.0,New Disease Reports | História Revista | Administrative Sciences
CARLOS DANIEL COSTA,2022,1,,3.0,19.0,18.0,New Disease Reports | História Revista | Administrative Sciences
CARLOS ROBERTO COSTA GOMES FILHO,2020,3,,3.0,19.0,18.0,New Disease Reports | História Revista | Administrative Sciences
