cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte
B1900366600000,A VIDA INVISÍVEL,a vida invisivel,59.5,19,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | BFI - Festival de Cinema de Londres | Cine Ceará | Festival de Cannes | Festival de Cinema de Denver | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema de Viena | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Palm Springs | Semana Internacional de Cine de Valladolid (Seminci) | SFF - Sydney Film Festival | Vancouver International Film Festival | Zurich Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800515000000,CHUVA É CANTORIA NA ALDEIA DOS MORTOS,chuva e cantoria na aldeia dos mortos,58.5,21,Athens International Film Festival | BFI - Festival de Cinema de Londres | Cine Esquema Novo - Festival de Cinema de Porto Alegre | Festival de Cannes | Festival de Cinema de Cartagena | Festival de Cinema de Istambul | Festival do Rio | Festival du Film Brésilien de Montreal | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Beijing | Festival Internacional de Cinema de Cork | Festival Internacional de Cinema de Gijon | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Viena | Festival Internacional de Marrakesh | Festival Internacional de Turim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | FICUNAM | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Mostra Internacional de Cinema de São Paulo | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900232700000,DIVINO AMOR,divino amor,58.5,19,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | Festival de Cinema de Denver | Festival de Cinema de Istambul | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Durban | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Viena | Festival Internacional de Melbourne | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Hong Kong International Film Festival | INDIELISBOA - Festival Internacional de Cinema Independente | Los Angeles AFI Fest | SFF - Sydney Film Festival | Sundance Film Festival | Vancouver International Film Festival | Zurich Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800213800000,BIXA TRAVESTY,bixa travesty,57.0,21,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Black Nights Film Festival | Festival de Brasília | Festival de Cinema de Cartagena | Festival de Cinema de Galway | Festival de Cinema de Tampere | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Busan | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Frameline - Festival Internacional de Cinema LGBT de São Francisco | IDFA - Festival Internacional de Documentários de Amsterdam | Mix Brasil | Molodist - Festival Internacional de Cinema de Kiev | NewFest - Festival de Cinema e Mídias LGBTQ+ | Panorama Internacional Coisa de Cinema | Queer Lisboa - Festival Internacional de Cinema Queer | Sheffield Doc Fest | Vancouver Queer Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700278300000,BARONESA,baronesa,57.0,21,Art of the Real | FEMINA - Festival Internacional de Cinema Feminino | Festival de Brasília | Festival de Cine de Mujeres – FEMCINE | Festival de Cinema de Vitória | Festival Guarnicê de Cinema | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Valdivia | Festival Internacional de Cinema de Viena | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | FICUNAM | FID Marseille (ex-Festival Internacional de Documentários de Marselha) | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | Jeonju Internacional Film Festival | Mostra de Cinema de Tiradentes (Minas Gerais) | Olhar de Cinema - Festival Internacional de Curitiba | Panorama Internacional Coisa de Cinema | Semana de Cinema | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700480900000,ZAMA,zama,53.5,19,Academia de las Artes y las Ciencias Cinematograficas de España [GOYA] | BFI - Festival de Cinema de Londres | Festival de Cine de Mujeres – FEMCINE | Festival de Cinema de Cartagena | Festival de Cinema de Shangai | Festival Internacional de Cinema de Beijing | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Nova York | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema de Valdivia | Festival Internacional de Cinema de Veneza | Festival Internacional de Melbourne | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Hong Kong International Film Festival | Mostra Internacional de Cinema de São Paulo | Mumbai International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600181500000,A CIDADE ONDE ENVELHEÇO,a cidade onde envelheco,53.0,15,Cine Las Americas International Film Festival | DOCLISBOA - Festival Internatcional de Cinema | Donostia - Festival Internacional de Cinema de San Sebastián | Festival de Brasília | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | Janela Internacional do Cinema | Mostra de Cinema de Tiradentes (Minas Gerais) | Palm Springs | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000312900000,MARTE UM,marte um,52.0,21,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brésilien de Paris | Festival de Cinema de Denver | Festival de Cinema de Tribeca (Nova York) | Festival de Cinema Ibero-americano de Huelva | Festival de Gramado | Festival Guarnicê de Cinema | Festival Internacional de Cinema de Beijing | Festival Internacional de Cinema de Edimburgo | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de São Francisco | Festival Internacional de Melbourne | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Giffoni Film Festival | Nashville Film Festival | NewFest - Festival de Cinema e Mídias LGBTQ+ | Palm Springs | Sundance Film Festival | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800106900000,BENZINHO,benzinho,50.0,21,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | Cine Ceará | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brésilien de Paris | Festival de Cinema de Bogotá | Festival de Cinema de Denver | Festival de Cinema de Shangai | Festival de Cinema de Vitória | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Cinema Málaga | Festival de Gramado | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Edimburgo | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de São Francisco | Festival Internacional de Cinema Latino de Los Angeles | Sundance Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800307200000,SUEÑO FLORIANÓPOLIS,sueno florianopolis,50.0,16,BFI - Festival de Cinema de Londres | Donostia - Festival Internacional de Cinema de San Sebastián | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Gijon | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Punta Del Este | Festival Internacional de Cinema de São Francisco | Festival Internacional de Cinema de Toronto | Festival Internacional de Cinema do Cairo | Mostra Internacional de Cinema de São Paulo | Thessaloniki International Film Festival | Zurich Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
