cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte
B1800358900000,A FAMÍLIA SUBMERSA,a familia submersa,43.0,12,Donostia - Festival Internacional de Cinema de San Sebastián | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema de Locarno | Festival do Rio | Festival Internacional de Cinema de Valdivia | Festival Internacional de Cinema de Viena | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | FICUNAM | Jeonju Internacional Film Festival | Mostra Internacional de Cinema de São Paulo | New Directors New Films | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000154900000,ALICE JÚNIOR,alice junior,42.5,12,Donostia - Festival Internacional de Cinema de San Sebastián | FESTIN Lisboa | Festival de Brasília | Festival de Cinema de Vitória | Festival do Rio | Festival Internacional de Cine Político | Festival Internacional de Cinema de Berlim | Festival Mix Brasil de Cultura da Diversidade | Frameline - Festival Internacional de Cinema LGBT de São Francisco | LUCAS Internationales KinderFilmFestival | Mostra Internacional de Cinema de São Paulo | NewFest - Festival de Cinema e Mídias LGBTQ+,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000436400000,TODOS OS MORTOS,todos os mortos,42.0,11,Donostia - Festival Internacional de Cinema de San Sebastián | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Cinema Ibero-americano de Huelva | Festival de Gramado | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Cork | Festival Internacional de Cinema de Pingyao | Festival Internacional de Cinema de Viena | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | INDIELISBOA - Festival Internacional de Cinema Independente | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900209700000,PACARRETE,pacarrete,41.5,15,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Cine Ceará | FESTIN Lisboa | Festival de Cinema Brésilien de Paris | Festival de Cinema de Bogotá | Festival de Cinema de Shangai | Festival de Cinema de Vitória | Festival de Gramado | Festival do Rio | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Punta Del Este | IFFK - International Film Festival of Kerala | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100065700000,A ÚLTIMA FLORESTA,a ultima floresta,37.5,8,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Black Nights Film Festival | É Tudo Verdade | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Documentários Hot Docs | Visions du Réel (Nyon),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600547800000,RIFLE,rifle,37.0,11,Cine Esquema Novo - Festival de Cinema de Porto Alegre | Festival de Brasília | Festival de Cinema do Bósforo | Festival Internacional de Cinema da Fronteira | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema do Cairo | FID Marseille (ex-Festival Internacional de Documentários de Marselha) | Jeonju Internacional Film Festival | Olhar de Cinema - Festival Internacional de Curitiba | Panorama Internacional Coisa de Cinema | Semana de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000533500000,UN CRIMEN COMÚN,un crimen comun,37.0,9,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | BFI - Festival de Cinema de Londres | Festival de Cinema Ibero-americano de Huelva | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Cork | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFI - Festival Internacional de cinema da Índia (Goa) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700386400000,NÃO DEVORE MEU CORAÇÃO,nao devore meu coracao,37.0,12,Black Nights Film Festival | Encontros de Cinema da Amércia Latina de Toulouse | FESTIN Lisboa | Festival de Brasília | Festival de Cinema Brésilien de Paris | Festival de Cinema de Cartagena | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Estocolmo | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema | Sundance Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800001000000,EX-PAJÉ,ex-paje,36.0,10,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | É Tudo Verdade | FESTIN Lisboa | Festival de Cinema de Shangai | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema e Vídeo Ambiental - FICA | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Sheffield Doc Fest,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700051600000,VAZANTE,vazante,36.0,9,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Brasília | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Estocolmo | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Mumbai International Film Festival | Palm Springs | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000433100000,CHICO VENTANA TAMBÉM QUERIA TER UM SUBMARINO,chico ventana tambem queria ter um submarino,35.5,10,Festival de Cinema de Istambul | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFI - Festival Internacional de cinema da Índia (Goa) | Jeonju Internacional Film Festival | Mostra Internacional de Cinema de São Paulo | Nashville Film Festival | New Directors New Films,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900541900000,BREVE HISTÓRIA DO PLANETA VERDE,breve historia do planeta verde,35.5,12,BAFICI | Festival de Cinema de Istambul | Festival de Cinema e Cultura da América Latina de Biarritz | Festival do Rio | Festival Internacional de Cinema de Berlim | Festival Internacional de Viña del Mar | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Mix Brasil | Olhar de Cinema - Festival Internacional de Curitiba | Queer Lisboa - Festival Internacional de Cinema Queer | Sitges - Festival Internacional de Cinema Fantástico da Catalunha | Thessaloniki International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100218200000,MADALENA,madalena,35.5,11,Donostia - Festival Internacional de Cinema de San Sebastián | Festival de Cinema de Bogotá | Festival de Cinema de Istambul | Festival de Cinema e Cultura da América Latina de Biarritz | Festival Internacional de Cinema de Roterdã | Festival Internacional de Melbourne | Molodist - Festival Internacional de Cinema de Kiev | Mostra Internacional de Cinema de São Paulo | New Directors New Films | Panorama Internacional Coisa de Cinema | Queer Lisboa - Festival Internacional de Cinema Queer,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700381100000,INVISÍVEL,invisivel,35.5,11,Festival de Cinema de Shangai | Festival de Cinema Málaga | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Veneza | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Hong Kong International Film Festival | Janela Internacional do Cinema | KIFF - Kolkata International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900299800000,RAIA 4,raia 4,35.0,11,Cine Esquema Novo - Festival de Cinema de Porto Alegre | CINEKID | FESTIN Lisboa | Festival de Cinema de Cartagena | Festival de Cinema de Roma | Festival de Cinema de Shangai | Festival de Gramado | Festival do Rio | Festival Internacional de Cinema do Uruguai | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200089800000,O TRAIDOR,o traidor,33.5,14,BFI - Festival de Cinema de Londres | Festival de Cannes | Festival de Cinema de Shangai | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Estocolmo | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema de Morelia | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Toronto | Film Festival Ghent | Hamptons International Film Festival | Palm Springs,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700104200000,PENDULAR,pendular,33.5,10,Encontros de Cinema da Amércia Latina de Toulouse | Festival de Brasília | Festival de Nouveau Cinema | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema do Uruguai | Los Angeles AFI Fest | Mumbai International Film Festival | New Directors New Films | SIFF - Seattle International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800502000000,DOMINGO,domingo,32.5,13,Cinema Jove - Festival Internacional de Cine | Festival de Brasília | Festival do Rio | Festival Internacional de Cinema da Fronteira | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Giornate degli Autori | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900203000000,CHÃO,chao,32.0,10,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | DOCLISBOA - Festival Internatcional de Cinema | Encontros de Cinema da Amércia Latina de Toulouse | Festival do Rio | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Viena | Forumdoc.bh - Festival do Filme Documentário e Etnográfico | IDFA - Festival Internacional de Documentários de Amsterdam | Mostra Internacional de Cinema de São Paulo | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700119200000,COMO NOSSOS PAIS,como nossos pais,31.0,10,Cine Vitória | FESTIN Lisboa | Festival de Cinema Brésilien de Paris | Festival de Cinema de Vitória | Festival de Gramado | Festival du Film Brésilien de Montreal | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Punta Del Este | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Semana Internacional de Cine de Valladolid (Seminci),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900623600000,UM ANIMAL AMARELO,um animal amarelo,31.0,10,Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema de Istambul | Festival de Cinema e Cultura da América Latina de Biarritz | Festival de Gramado | Festival de Nouveau Cinema | Festival do Rio | Festival Internacional de Cinema de Roterdã | FICUNAM | INDIELISBOA - Festival Internacional de Cinema Independente | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600765100000,ELON NÃO ACREDITA NA MORTE,elon nao acredita na morte,30.5,12,BAFICI | Festival de Brasília | Festival de Cinema de Cartagena | Festival Internacional de Cinema de Durban | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema do Uruguai | IFFI - Festival Internacional de cinema da Índia (Goa) | INDIELISBOA - Festival Internacional de Cinema Independente | Janela Internacional do Cinema | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100113900000,A NUVEM ROSA,a nuvem rosa,28.5,10,Black Nights Film Festival | Chicago Latino Film Festival | Festival Internacional de Cinema da Fronteira | Festival Internacional de Cinema de Miami | Festival Internacional de Cinema de Munique (Filmfest München) | SIFF - Seattle International Film Festival | Sitges - Festival Internacional de Cinema Fantástico da Catalunha | Sofia International Film Festival | Sundance Film Festival | Transilvania International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800204300000,MORMAÇO,mormaco,28.5,9,Encontros de Cinema da Amércia Latina de Toulouse | Festival de Gramado | Festival do Rio | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema do Cairo | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900381500000,SEM SEU SANGUE,sem seu sangue,28.5,8,Festival de Cannes | Festival de Cinema de Denver | Festival de Cinema de Varsóvia | Festival de Cinema do Bósforo | Festival do Rio | Festival Internacional de Cinema de Karlovy Vary | Festival Internacional de Cinema Latino de Los Angeles | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100148000000,TANTAS ALMAS,tantas almas,28.0,11,Chicago Latino Film Festival | Festival de Cinema de Cartagena | Festival de Cinema de Istambul | Festival de Cinema de Roma | Festival Internacional de Cinema de Busan | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de São Francisco | Festival Internacional de Marrakesh | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Trois Continents (Nantes) | Transilvania International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900172900000,GRETA,greta,27.5,7,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Cine Ceará | Festival de Cinema LGBTIQ+ de Londres - BFI Flare | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Guadalajara | Molodist - Festival Internacional de Cinema de Kiev | Queer Lisboa - Festival Internacional de Cinema Queer,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000006700000,MARIGHELLA,marighella,27.5,12,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Athens International Film Festival | Festival de Cinema Brésilien de Paris | Festival de Cinema de Istambul | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema do Cairo | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Hong Kong International Film Festival | IFFI - Festival Internacional de cinema da Índia (Goa) | SFF - Sydney Film Festival | SIFF - Seattle International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900410500000,TRÊS VERÕES,tres veroes,27.0,8,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brésilien de Paris | Festival de Cinema Málaga | Festival do Rio | Festival Internacional de Cinema de Toronto | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Hamptons International Film Festival | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100472800000,PALOMA,paloma,26.5,9,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Ibero-americano de Huelva | Festival de Cinema Raindance | Festival do Rio | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema de Munique (Filmfest München) | Mix Brasil | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900093600000,ESTOU ME GUARDANDO PARA QUANDO O CARNAVAL CHEGAR,estou me guardando para quando o carnaval chegar,26.0,8,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | É Tudo Verdade | Festival Internacional de Cinema de Berlim | IDFA - Festival Internacional de Documentários de Amsterdam | Los Angeles AFI Fest | Olhar de Cinema - Festival Internacional de Curitiba | Semana Internacional de Cine de Valladolid (Seminci) | Sheffield Doc Fest,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600420900000,MULHER DO PAI,mulher do pai,26.0,10,Cinema Jove - Festival Internacional de Cine | FESTIN Lisboa | Festival do Rio | Festival Internacional de Cinema de Berlim | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema do Uruguai | Festival Internacional de Viña del Mar | Festival Trois Continents (Nantes) | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900507200000,QUERÊNCIA,querencia,26.0,4,Festival Internacional de Cinema de Berlim | INDIELISBOA - Festival Internacional de Cinema Independente | Jeonju Internacional Film Festival | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800504700000,TORRE DAS DONZELAS,torre das donzelas,26.0,8,ATLANTIDOC - Festival Internacional de Cinema Documentário | Cine Ceará | Festival de Brasília | Festival de Cine de Mujeres – FEMCINE | Festival do Rio | Festival Internacional de Film de Femmes | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000302600000,IRMÃ,irma,25.5,6,Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema Brésilien de Paris | Festival Internacional de Cinema de Berlim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700416900000,AOS TEUS OLHOS,aos teus olhos,25.0,10,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brésilien de Paris | Festival do Rio | Festival Internacional de Cinema de Chicago | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Festival Mix Brasil de Cultura da Diversidade | Mostra Internacional de Cinema de São Paulo | Transilvania International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000461200000,VALENTINA,valentina,24.5,11,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami | Festival de Cinema de Varsóvia | Festival do Rio | Festival Internacional de Cinema de Nova York | IFFI - Festival Internacional de cinema da Índia (Goa) | Mix Brasil | Molodist - Festival Internacional de Cinema de Kiev | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo | SIFF - Seattle International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600690600000,ERA O HOTEL CAMBRIDGE,era o hotel cambridge,24.0,8,Black Nights Film Festival | Donostia - Festival Internacional de Cinema de San Sebastián | Encontros de Cinema da Amércia Latina de Toulouse | Festival do Rio | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Film de Femmes | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800607100000,CINE MARROCOS,cine marrocos,24.0,6,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | É Tudo Verdade | Festival de Brasília | Festival Internacional de Documentários e Animação de Leipzig | Festival Internacional de Cinema de Guadalajara | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900397300000,MULHER OCEANO,mulher oceano,23.5,8,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Cine Esquema Novo - Festival de Cinema de Porto Alegre | Cine PE - Fetival Audiovisual do Recife | Festival de Cinema de Vitória | Festival de Cinema Málaga | Festival Guarnicê de Cinema | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700405200000,PRAÇA PARIS,praca paris,23.0,9,FESTIN Lisboa | Festival de Cinema Brésilien de Paris | Festival do Rio | Festival Internacional de Cinema de Chicago | Festival Internacional de Cinema do Uruguai | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | IFFK - International Film Festival of Kerala | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700088100000,PELA JANELA,pela janela,23.0,7,FEMINA - Festival Internacional de Cinema Feminino | Festival de Cinema de Bogotá | Festival de Gramado | Festival Internacional de Cinema de Roterdã | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Janela Internacional do Cinema | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700396100000,NINGUÉM ESTÁ OLHANDO,ninguem esta olhando,22.0,12,Cine Ceará | Encontros de Cinema da Amércia Latina de Toulouse | Festival de Cinema de Roma | Festival de Cinema de Tribeca (Nova York) | Festival de Cinema de Varsóvia | Festival de Cinema e Cultura da América Latina de Biarritz | Festival do Rio | Festival Internacional de Cinema de Gijon | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Film de Femmes | Frameline - Festival Internacional de Cinema LGBT de São Francisco | Zurich Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700605800000,LOS TERRITORIOS,los territorios,21.0,6,BAFICI | Festival de Cinema de Cartagena | Festival do Rio | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Viena | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700605000000,A MOÇA DO CALENDÁRIO,a moca do calendario,20.5,11,FEMINA - Festival Internacional de Cinema Feminino | Festival de Brasília | Festival Guarnicê de Cinema | Janela Internacional do Cinema | Mix Brasil | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra do Filme Livre | Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema | Queer Lisboa - Festival Internacional de Cinema Queer | Semana de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800422100000,DJON ÁFRICA,djon africa,20.0,9,Festival Internacional de Cinema de Durban | Festival Internacional de Cinema de Munique (Filmfest München) | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de São Francisco | Festival Internacional de Melbourne | New Directors New Films | Olhar de Cinema - Festival Internacional de Curitiba | Semana Internacional de Cine de Valladolid (Seminci) | Vancouver International Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200250200000,NOITES ALIENÍGENAS,noites alienigenas,20.0,6,FESTIN Lisboa | Festival de Cinema Brésilien de Paris | Festival de Gramado | Festival Guarnicê de Cinema | Festival Internacional de Cinema da Fronteira | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100263400000,A VIAGEM DE PEDRO,a viagem de pedro,20.0,5,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami | Festival do Rio | INDIELISBOA - Festival Internacional de Cinema Independente | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700092500000,JOAQUIM,joaquim,20.0,3,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival Internacional de Cinema de Berlim | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000335200000,MEU TIO JOSÉ,meu tio jose,20.0,4,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival do Rio | Festival Internacional de Animação - Annecy | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000096300000,A MORTE HABITA À NOITE,a morte habita a noite,19.5,6,Cine Ceará | Festival de Cinema Brasileiro de Miami | Festival do Rio | Festival Internacional de Cinema de Roterdã | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200146200000,KOBRA - AUTO-RETRATO,kobra - auto-retrato,19.5,5,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | FESTIN Lisboa | Festival do Rio | Festival Internacional de Cinema de Miami | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900203600000,NONA - SI ME MOJAN YO LOS QUEMO,nona - si me mojan yo los quemo,19.0,7,Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Roterdã | Festival Internacional de Cinema de Valdivia | Festival Internacional de Cinema de Viena | FICUNAM | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900320300000,A MULHER DA LUZ PRÓPRIA,a mulher da luz propria,19.0,11,Cine Esquema Novo - Festival de Cinema de Porto Alegre | FEMINA - Festival Internacional de Cinema Feminino | Festival do Rio | Festival Guarnicê de Cinema | Festival Internacional de Cinema do Uruguai | Festival Internacional de Viña del Mar | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra de Cinema de Ouro Preto – CineOP | Mostra do Filme Livre | Olhar de Cinema - Festival Internacional de Curitiba | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100266400000,MATAR A LA BESTIA,matar a la bestia,19.0,6,Festival de Cinema Ibero-americano de Huelva | Festival do Rio | Festival Internacional de Cine de Mar del Plata | Festival Internacional de Cinema de Guadalajara | Festival Internacional de Cinema de Toronto | Festival Internacional Mannheim Heidelberg,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800387000000,TODAS AS CANÇÕES DE AMOR,todas as cancoes de amor,18.5,7,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | FESTIN Lisboa | Festival de Cinema Brasileiro de Miami | Festival de Cinema Brésilien de Paris | Festival Internacional de Cinema de Punta Del Este | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800517200000,MEU NOME É DANIEL,meu nome e daniel,18.5,10,Festival de Cinema de Cartagena | Festival do Rio | IDFA - Festival Internacional de Documentários de Amsterdam | Mostra de Cinema de Tiradentes (Minas Gerais) | Mostra do Filme Livre | Mostra Internacional de Cinema de São Paulo | Olhar de Cinema - Festival Internacional de Curitiba | Panorama Internacional Coisa de Cinema | Semana de Cinema | SFF - Sydney Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100433800000,CARRO REI,carro rei,18.0,5,Festival de Gramado | Festival Internacional de Cinema de Roterdã | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Olhar de Cinema - Festival Internacional de Curitiba | Raindance Film Festival,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
